5267,28,45:58.3,-294,45:58.9,13,43,"[91057.0, 20507.0, 4235.0, 882.0, 4255.0, 1906.0, 3289.0, 770.0]",16
5253,28,45:59.2,-294,45:59.8,13,40,"[268548.0, 73319.0, 20893.0, 5166.0, 6906.0, 16771.0, 7696.0, 9136.0]",16
5232,28,46:00.4,-294,46:00.8,13,47,"[68482.0, 24171.0, 22803.0, 10895.0, 10712.0, 12189.0, 7410.0, 3328.0]",16
5217,28,46:01.3,-294,46:01.9,13,43,"[111249.0, 18500.0, 1483.0, 5002.0, 3446.0, 1878.0, 601.0, 595.0]",16
5205,28,46:02.2,-294,46:02.8,13,64,"[16284.0, 12014.0, 24663.0, 13742.0, 12528.0, 7402.0, 6557.0, 2655.0]",16
5184,28,46:03.4,-294,46:03.8,13,66,"[55329.0, 23387.0, 7229.0, 6043.0, 7736.0, 6373.0, 13041.0, 9694.0]",16
5168,28,46:04.3,-295,46:04.8,13,64,"[3331.0, 11738.0, 9259.0, 10233.0, 11032.0, 9923.0, 9242.0, 10612.0]",16
5155,28,46:05.2,-295,46:05.8,13,81,"[73487.0, 8278.0, 6092.0, 7234.0, 826.0, 2082.0, 1906.0, 1080.0]",16
5681,28,45:32.5,-252,45:33.0,16,40,"[122249.0, 56634.0, 18976.0, 3571.0, 6917.0, 10855.0, 4290.0, 5222.0]",15
5666,28,45:33.4,-255,45:34.0,16,53,"[59239.0, 6470.0, 4043.0, 2558.0, 531.0, 1014.0, 1290.0, 577.0]",15
5652,28,45:34.3,-260,45:34.9,16,53,"[398819.0, 111028.0, 33481.0, 26086.0, 16663.0, 14751.0, 4998.0, 2627.0]",15
5632,28,45:35.5,-262,45:36.0,16,53,"[1041810.0, 214057.0, 29617.0, 33424.0, 16446.0, 15339.0, 9265.0, 13404.0]",15
6176,28,45:01.7,-224,45:02.1,20,40,"[1118658.0, 94331.0, 12713.0, 7226.0, 13707.0, 6509.0, 20114.0, 13064.0]",14
6163,28,45:02.6,-224,45:03.1,20,57,"[556488.0, 15799.0, 22023.0, 4035.0, 3417.0, 2448.0, 4268.0, 2002.0]",14
6144,28,45:03.8,-225,45:04.1,17,48,"[226571.0, 44019.0, 3919.0, 2351.0, 12300.0, 3668.0, 9191.0, 2731.0]",14
6129,28,45:04.7,-225,45:05.1,17,43,"[258604.0, 97125.0, 21455.0, 20014.0, 15249.0, 15298.0, 13532.0, 4787.0]",14
6116,28,45:05.6,-225,45:06.1,17,56,"[123698.0, 91237.0, 17739.0, 51869.0, 14832.0, 19427.0, 15734.0, 6773.0]",14
6097,28,45:06.8,-225,45:07.1,17,35,"[210349.0, 46007.0, 6969.0, 2837.0, 1791.0, 2013.0, 872.0, 1053.0]",14
6083,28,45:07.7,-225,45:08.1,17,54,"[1217045.0, 109975.0, 52549.0, 23975.0, 15791.0, 12097.0, 40147.0, 15041.0]",14
6067,28,45:08.6,-226,45:09.1,17,67,"[210318.0, 48195.0, 50585.0, 16636.0, 12126.0, 15803.0, 12878.0, 8411.0]",14
6053,28,45:09.5,-226,45:10.1,17,47,"[230851.0, 114212.0, 5698.0, 5875.0, 7093.0, 8061.0, 11360.0, 11384.0]",14
6034,28,45:10.6,-226,45:11.1,17,54,"[980149.0, 30991.0, 7545.0, 8312.0, 9142.0, 4106.0, 3689.0, 3058.0]",14
6019,28,45:11.5,-226,45:12.1,17,43,"[2592404.0, 161341.0, 20056.0, 21925.0, 17823.0, 7455.0, 15144.0, 12308.0]",14
6006,28,45:12.4,-226,45:13.1,17,51,"[101627.0, 13950.0, 43006.0, 6526.0, 5021.0, 1994.0, 5067.0, 3913.0]",14
5983,28,45:13.7,-226,45:14.1,17,63,"[151797.0, 35198.0, 4124.0, 6633.0, 2284.0, 7913.0, 8340.0, 5001.0]",14
5970,28,45:14.6,-227,45:15.1,17,41,"[987714.0, 722198.0, 8831.0, 37057.0, 31893.0, 13954.0, 17153.0, 10318.0]",14
5954,28,45:15.5,-227,45:16.0,17,41,"[305583.0, 614981.0, 124866.0, 62229.0, 94130.0, 43074.0, 40346.0, 60071.0]",14
5936,28,45:16.6,-227,45:17.1,17,35,"[302250.0, 57036.0, 66766.0, 39124.0, 8914.0, 12237.0, 13738.0, 11634.0]",14
